UMAP Random State,Num Topics,Num Combinations,Num Top Words,Num Top Programs,Reachable Programs,Reachable Programs %
5,10,1,5,3,25,29.761904761904763
5,10,1,5,5,41,48.80952380952381
5,10,1,5,7,54,64.28571428571429
5,10,2,5,3,30,35.714285714285715
5,10,2,5,5,41,48.80952380952381
5,10,2,5,7,52,61.904761904761905
5,10,3,5,3,28,33.333333333333336
5,10,3,5,5,39,46.42857142857143
5,10,3,5,7,48,57.142857142857146
5,10,1,10,3,26,30.952380952380953
5,10,1,10,5,41,48.80952380952381
5,10,1,10,7,51,60.714285714285715
5,10,2,10,3,25,29.761904761904763
5,10,2,10,5,38,45.23809523809524
5,10,2,10,7,49,58.333333333333336
5,10,3,10,3,22,26.19047619047619
5,10,3,10,5,37,44.04761904761905
5,10,3,10,7,45,53.57142857142857
5,10,1,15,3,27,32.142857142857146
5,10,1,15,5,41,48.80952380952381
5,10,1,15,7,54,64.28571428571429
5,10,2,15,3,30,35.714285714285715
5,10,2,15,5,44,52.38095238095238
5,10,2,15,7,54,64.28571428571429
5,10,3,15,3,32,38.095238095238095
5,10,3,15,5,41,48.80952380952381
5,10,3,15,7,49,58.333333333333336
5,10,1,20,3,24,28.571428571428573
5,10,1,20,5,36,42.857142857142854
5,10,1,20,7,46,54.76190476190476
5,10,2,20,3,24,28.571428571428573
5,10,2,20,5,36,42.857142857142854
5,10,2,20,7,48,57.142857142857146
5,10,3,20,3,22,26.19047619047619
5,10,3,20,5,33,39.285714285714285
5,10,3,20,7,45,53.57142857142857
5,20,1,5,3,45,53.57142857142857
5,20,1,5,5,63,75.0
5,20,1,5,7,72,85.71428571428571
5,20,2,5,3,50,59.523809523809526
5,20,2,5,5,61,72.61904761904762
5,20,2,5,7,70,83.33333333333333
5,20,3,5,3,51,60.714285714285715
5,20,3,5,5,63,75.0
5,20,3,5,7,70,83.33333333333333
5,20,1,10,3,43,51.19047619047619
5,20,1,10,5,57,67.85714285714286
5,20,1,10,7,65,77.38095238095238
5,20,2,10,3,49,58.333333333333336
5,20,2,10,5,60,71.42857142857143
5,20,2,10,7,66,78.57142857142857
5,20,3,10,3,48,57.142857142857146
5,20,3,10,5,58,69.04761904761905
5,20,3,10,7,66,78.57142857142857
5,20,1,15,3,43,51.19047619047619
5,20,1,15,5,58,69.04761904761905
5,20,1,15,7,68,80.95238095238095
5,20,2,15,3,49,58.333333333333336
5,20,2,15,5,64,76.19047619047619
5,20,2,15,7,73,86.9047619047619
5,20,3,15,3,52,61.904761904761905
5,20,3,15,5,66,78.57142857142857
5,20,3,15,7,75,89.28571428571429
5,20,1,20,3,40,47.61904761904762
5,20,1,20,5,53,63.095238095238095
5,20,1,20,7,62,73.80952380952381
5,20,2,20,3,47,55.95238095238095
5,20,2,20,5,56,66.66666666666667
5,20,2,20,7,64,76.19047619047619
5,20,3,20,3,52,61.904761904761905
5,20,3,20,5,60,71.42857142857143
5,20,3,20,7,66,78.57142857142857
5,25,1,5,3,48,57.142857142857146
5,25,1,5,5,67,79.76190476190476
5,25,1,5,7,77,91.66666666666667
5,25,2,5,3,53,63.095238095238095
5,25,2,5,5,70,83.33333333333333
5,25,2,5,7,77,91.66666666666667
5,25,3,5,3,53,63.095238095238095
5,25,3,5,5,71,84.52380952380952
5,25,3,5,7,77,91.66666666666667
5,25,1,10,3,52,61.904761904761905
5,25,1,10,5,66,78.57142857142857
5,25,1,10,7,74,88.0952380952381
5,25,2,10,3,55,65.47619047619048
5,25,2,10,5,68,80.95238095238095
5,25,2,10,7,75,89.28571428571429
5,25,3,10,3,56,66.66666666666667
5,25,3,10,5,69,82.14285714285714
5,25,3,10,7,76,90.47619047619048
5,25,1,15,3,51,60.714285714285715
5,25,1,15,5,67,79.76190476190476
5,25,1,15,7,75,89.28571428571429
5,25,2,15,3,58,69.04761904761905
5,25,2,15,5,71,84.52380952380952
5,25,2,15,7,75,89.28571428571429
5,25,3,15,3,64,76.19047619047619
5,25,3,15,5,74,88.0952380952381
5,25,3,15,7,77,91.66666666666667
5,25,1,20,3,48,57.142857142857146
5,25,1,20,5,67,79.76190476190476
5,25,1,20,7,73,86.9047619047619
5,25,2,20,3,57,67.85714285714286
5,25,2,20,5,70,83.33333333333333
5,25,2,20,7,74,88.0952380952381
5,25,3,20,3,61,72.61904761904762
5,25,3,20,5,69,82.14285714285714
5,25,3,20,7,74,88.0952380952381
5,30,1,5,3,61,72.61904761904762
5,30,1,5,5,75,89.28571428571429
5,30,1,5,7,81,96.42857142857143
5,30,2,5,3,68,80.95238095238095
5,30,2,5,5,80,95.23809523809524
5,30,2,5,7,83,98.80952380952381
5,30,3,5,3,71,84.52380952380952
5,30,3,5,5,81,96.42857142857143
5,30,3,5,7,82,97.61904761904762
5,30,1,10,3,57,67.85714285714286
5,30,1,10,5,70,83.33333333333333
5,30,1,10,7,76,90.47619047619048
5,30,2,10,3,61,72.61904761904762
5,30,2,10,5,72,85.71428571428571
5,30,2,10,7,79,94.04761904761905
5,30,3,10,3,63,75.0
5,30,3,10,5,72,85.71428571428571
5,30,3,10,7,79,94.04761904761905
5,30,1,15,3,54,64.28571428571429
5,30,1,15,5,74,88.0952380952381
5,30,1,15,7,79,94.04761904761905
5,30,2,15,3,61,72.61904761904762
5,30,2,15,5,76,90.47619047619048
5,30,2,15,7,80,95.23809523809524
5,30,3,15,3,67,79.76190476190476
5,30,3,15,5,80,95.23809523809524
5,30,3,15,7,81,96.42857142857143
5,30,1,20,3,55,65.47619047619048
5,30,1,20,5,71,84.52380952380952
5,30,1,20,7,78,92.85714285714286
5,30,2,20,3,64,76.19047619047619
5,30,2,20,5,73,86.9047619047619
5,30,2,20,7,80,95.23809523809524
5,30,3,20,3,67,79.76190476190476
5,30,3,20,5,75,89.28571428571429
5,30,3,20,7,81,96.42857142857143
5,10,4,5,3,25,29.761904761904763
5,10,4,5,5,35,41.666666666666664
5,10,4,5,7,43,51.19047619047619
5,10,4,10,3,23,27.38095238095238
5,10,4,10,5,35,41.666666666666664
5,10,4,10,7,39,46.42857142857143
5,10,4,15,3,29,34.523809523809526
5,10,4,15,5,37,44.04761904761905
5,10,4,15,7,47,55.95238095238095
5,10,4,20,3,22,26.19047619047619
5,10,4,20,5,30,35.714285714285715
5,10,4,20,7,35,41.666666666666664
5,20,4,5,3,50,59.523809523809526
5,20,4,5,5,57,67.85714285714286
5,20,4,5,7,68,80.95238095238095
5,20,4,10,3,50,59.523809523809526
5,20,4,10,5,57,67.85714285714286
5,20,4,10,7,65,77.38095238095238
5,20,4,15,3,51,60.714285714285715
5,20,4,15,5,63,75.0
5,20,4,15,7,74,88.0952380952381
5,20,4,20,3,53,63.095238095238095
5,20,4,20,5,61,72.61904761904762
5,20,4,20,7,65,77.38095238095238
5,25,4,5,3,51,60.714285714285715
5,25,4,5,5,68,80.95238095238095
5,25,4,5,7,77,91.66666666666667
5,25,4,10,3,57,67.85714285714286
5,25,4,10,5,68,80.95238095238095
5,25,4,10,7,76,90.47619047619048
5,25,4,15,3,64,76.19047619047619
5,25,4,15,5,76,90.47619047619048
5,25,4,15,7,78,92.85714285714286
5,25,4,20,3,63,75.0
5,25,4,20,5,71,84.52380952380952
5,25,4,20,7,76,90.47619047619048
5,30,4,5,3,73,86.9047619047619
5,30,4,5,5,81,96.42857142857143
5,30,4,5,7,82,97.61904761904762
5,30,4,10,3,64,76.19047619047619
5,30,4,10,5,74,88.0952380952381
5,30,4,10,7,79,94.04761904761905
5,30,4,15,3,72,85.71428571428571
5,30,4,15,5,79,94.04761904761905
5,30,4,15,7,81,96.42857142857143
5,30,4,20,3,69,82.14285714285714
5,30,4,20,5,77,91.66666666666667
5,30,4,20,7,81,96.42857142857143
5,10,5,5,3,21,25.0
5,10,5,5,5,29,34.523809523809526
5,10,5,5,7,37,44.04761904761905
5,10,5,10,3,21,25.0
5,10,5,10,5,30,35.714285714285715
5,10,5,10,7,36,42.857142857142854
5,10,5,15,3,26,30.952380952380953
5,10,5,15,5,34,40.476190476190474
5,10,5,15,7,39,46.42857142857143
5,10,5,20,3,17,20.238095238095237
5,10,5,20,5,26,30.952380952380953
5,10,5,20,7,31,36.904761904761905
5,20,5,5,3,50,59.523809523809526
5,20,5,5,5,56,66.66666666666667
5,20,5,5,7,67,79.76190476190476
5,20,5,10,3,50,59.523809523809526
5,20,5,10,5,57,67.85714285714286
5,20,5,10,7,62,73.80952380952381
5,20,5,15,3,51,60.714285714285715
5,20,5,15,5,64,76.19047619047619
5,20,5,15,7,74,88.0952380952381
5,20,5,20,3,54,64.28571428571429
5,20,5,20,5,62,73.80952380952381
5,20,5,20,7,65,77.38095238095238
5,25,5,5,3,52,61.904761904761905
5,25,5,5,5,68,80.95238095238095
5,25,5,5,7,77,91.66666666666667
5,25,5,10,3,58,69.04761904761905
5,25,5,10,5,67,79.76190476190476
5,25,5,10,7,75,89.28571428571429
5,25,5,15,3,64,76.19047619047619
5,25,5,15,5,75,89.28571428571429
5,25,5,15,7,80,95.23809523809524
5,25,5,20,3,61,72.61904761904762
5,25,5,20,5,70,83.33333333333333
5,25,5,20,7,77,91.66666666666667
5,30,5,5,3,75,89.28571428571429
5,30,5,5,5,79,94.04761904761905
5,30,5,5,7,82,97.61904761904762
5,30,5,10,3,65,77.38095238095238
5,30,5,10,5,74,88.0952380952381
5,30,5,10,7,79,94.04761904761905
5,30,5,15,3,73,86.9047619047619
5,30,5,15,5,79,94.04761904761905
5,30,5,15,7,80,95.23809523809524
5,30,5,20,3,68,80.95238095238095
5,30,5,20,5,77,91.66666666666667
5,30,5,20,7,81,96.42857142857143
5,10,6,5,3,17,20.238095238095237
5,10,6,5,5,23,27.38095238095238
5,10,6,5,7,28,33.333333333333336
5,10,6,10,3,18,21.428571428571427
5,10,6,10,5,24,28.571428571428573
5,10,6,10,7,27,32.142857142857146
5,10,6,15,3,18,21.428571428571427
5,10,6,15,5,28,33.333333333333336
5,10,6,15,7,34,40.476190476190474
5,10,6,20,3,16,19.047619047619047
5,10,6,20,5,21,25.0
5,10,6,20,7,26,30.952380952380953
5,20,6,5,3,48,57.142857142857146
5,20,6,5,5,55,65.47619047619048
5,20,6,5,7,65,77.38095238095238
5,20,6,10,3,48,57.142857142857146
5,20,6,10,5,57,67.85714285714286
5,20,6,10,7,60,71.42857142857143
5,20,6,15,3,51,60.714285714285715
5,20,6,15,5,61,72.61904761904762
5,20,6,15,7,72,85.71428571428571
5,20,6,20,3,51,60.714285714285715
5,20,6,20,5,60,71.42857142857143
5,20,6,20,7,64,76.19047619047619
5,25,6,5,3,53,63.095238095238095
5,25,6,5,5,64,76.19047619047619
5,25,6,5,7,74,88.0952380952381
5,25,6,10,3,58,69.04761904761905
5,25,6,10,5,67,79.76190476190476
5,25,6,10,7,73,86.9047619047619
5,25,6,15,3,64,76.19047619047619
5,25,6,15,5,74,88.0952380952381
5,25,6,15,7,77,91.66666666666667
5,25,6,20,3,59,70.23809523809524
5,25,6,20,5,69,82.14285714285714
5,25,6,20,7,73,86.9047619047619
5,30,6,5,3,74,88.0952380952381
5,30,6,5,5,78,92.85714285714286
5,30,6,5,7,82,97.61904761904762
5,30,6,10,3,65,77.38095238095238
5,30,6,10,5,74,88.0952380952381
5,30,6,10,7,78,92.85714285714286
5,30,6,15,3,70,83.33333333333333
5,30,6,15,5,79,94.04761904761905
5,30,6,15,7,80,95.23809523809524
5,30,6,20,3,67,79.76190476190476
5,30,6,20,5,76,90.47619047619048
5,30,6,20,7,81,96.42857142857143
23,10,1,5,3,22,26.19047619047619
23,10,1,5,5,35,41.666666666666664
23,10,1,5,7,44,52.38095238095238
23,10,2,5,3,23,27.38095238095238
23,10,2,5,5,34,40.476190476190474
23,10,2,5,7,41,48.80952380952381
23,10,3,5,3,23,27.38095238095238
23,10,3,5,5,30,35.714285714285715
23,10,3,5,7,36,42.857142857142854
23,10,4,5,3,20,23.80952380952381
23,10,4,5,5,26,30.952380952380953
23,10,4,5,7,33,39.285714285714285
23,10,1,10,3,25,29.761904761904763
23,10,1,10,5,37,44.04761904761905
23,10,1,10,7,50,59.523809523809526
23,10,2,10,3,26,30.952380952380953
23,10,2,10,5,37,44.04761904761905
23,10,2,10,7,46,54.76190476190476
23,10,3,10,3,23,27.38095238095238
23,10,3,10,5,36,42.857142857142854
23,10,3,10,7,43,51.19047619047619
23,10,4,10,3,23,27.38095238095238
23,10,4,10,5,32,38.095238095238095
23,10,4,10,7,39,46.42857142857143
23,10,1,15,3,27,32.142857142857146
23,10,1,15,5,39,46.42857142857143
23,10,1,15,7,48,57.142857142857146
23,10,2,15,3,25,29.761904761904763
23,10,2,15,5,39,46.42857142857143
23,10,2,15,7,47,55.95238095238095
23,10,3,15,3,27,32.142857142857146
23,10,3,15,5,35,41.666666666666664
23,10,3,15,7,45,53.57142857142857
23,10,4,15,3,22,26.19047619047619
23,10,4,15,5,32,38.095238095238095
23,10,4,15,7,40,47.61904761904762
23,10,1,20,3,25,29.761904761904763
23,10,1,20,5,36,42.857142857142854
23,10,1,20,7,45,53.57142857142857
23,10,2,20,3,26,30.952380952380953
23,10,2,20,5,34,40.476190476190474
23,10,2,20,7,45,53.57142857142857
23,10,3,20,3,24,28.571428571428573
23,10,3,20,5,34,40.476190476190474
23,10,3,20,7,39,46.42857142857143
23,10,4,20,3,23,27.38095238095238
23,10,4,20,5,32,38.095238095238095
23,10,4,20,7,36,42.857142857142854
23,20,1,5,3,44,52.38095238095238
23,20,1,5,5,62,73.80952380952381
23,20,1,5,7,71,84.52380952380952
23,20,2,5,3,49,58.333333333333336
23,20,2,5,5,63,75.0
23,20,2,5,7,73,86.9047619047619
23,20,3,5,3,48,57.142857142857146
23,20,3,5,5,61,72.61904761904762
23,20,3,5,7,70,83.33333333333333
23,20,4,5,3,47,55.95238095238095
23,20,4,5,5,59,70.23809523809524
23,20,4,5,7,67,79.76190476190476
23,20,1,10,3,43,51.19047619047619
23,20,1,10,5,65,77.38095238095238
23,20,1,10,7,72,85.71428571428571
23,20,2,10,3,47,55.95238095238095
23,20,2,10,5,67,79.76190476190476
23,20,2,10,7,71,84.52380952380952
23,20,3,10,3,50,59.523809523809526
23,20,3,10,5,64,76.19047619047619
23,20,3,10,7,71,84.52380952380952
23,20,4,10,3,47,55.95238095238095
23,20,4,10,5,61,72.61904761904762
23,20,4,10,7,69,82.14285714285714
23,20,1,15,3,43,51.19047619047619
23,20,1,15,5,63,75.0
23,20,1,15,7,72,85.71428571428571
23,20,2,15,3,49,58.333333333333336
23,20,2,15,5,66,78.57142857142857
23,20,2,15,7,73,86.9047619047619
23,20,3,15,3,49,58.333333333333336
23,20,3,15,5,63,75.0
23,20,3,15,7,73,86.9047619047619
23,20,4,15,3,48,57.142857142857146
23,20,4,15,5,62,73.80952380952381
23,20,4,15,7,71,84.52380952380952
23,20,1,20,3,43,51.19047619047619
23,20,1,20,5,57,67.85714285714286
23,20,1,20,7,70,83.33333333333333
23,20,2,20,3,48,57.142857142857146
23,20,2,20,5,57,67.85714285714286
23,20,2,20,7,72,85.71428571428571
23,20,3,20,3,50,59.523809523809526
23,20,3,20,5,59,70.23809523809524
23,20,3,20,7,68,80.95238095238095
23,20,4,20,3,49,58.333333333333336
23,20,4,20,5,59,70.23809523809524
23,20,4,20,7,67,79.76190476190476
23,25,1,5,3,52,61.904761904761905
23,25,1,5,5,70,83.33333333333333
23,25,1,5,7,74,88.0952380952381
23,25,2,5,3,58,69.04761904761905
23,25,2,5,5,71,84.52380952380952
23,25,2,5,7,76,90.47619047619048
23,25,3,5,3,59,70.23809523809524
23,25,3,5,5,68,80.95238095238095
23,25,3,5,7,75,89.28571428571429
23,25,4,5,3,58,69.04761904761905
23,25,4,5,5,70,83.33333333333333
23,25,4,5,7,72,85.71428571428571
23,25,1,10,3,53,63.095238095238095
23,25,1,10,5,67,79.76190476190476
23,25,1,10,7,74,88.0952380952381
23,25,2,10,3,57,67.85714285714286
23,25,2,10,5,71,84.52380952380952
23,25,2,10,7,76,90.47619047619048
23,25,3,10,3,62,73.80952380952381
23,25,3,10,5,71,84.52380952380952
23,25,3,10,7,76,90.47619047619048
23,25,4,10,3,58,69.04761904761905
23,25,4,10,5,70,83.33333333333333
23,25,4,10,7,76,90.47619047619048
23,25,1,15,3,50,59.523809523809526
23,25,1,15,5,69,82.14285714285714
23,25,1,15,7,75,89.28571428571429
23,25,2,15,3,56,66.66666666666667
23,25,2,15,5,73,86.9047619047619
23,25,2,15,7,78,92.85714285714286
23,25,3,15,3,58,69.04761904761905
23,25,3,15,5,72,85.71428571428571
23,25,3,15,7,76,90.47619047619048
23,25,4,15,3,58,69.04761904761905
23,25,4,15,5,71,84.52380952380952
23,25,4,15,7,76,90.47619047619048
23,25,1,20,3,53,63.095238095238095
23,25,1,20,5,67,79.76190476190476
23,25,1,20,7,76,90.47619047619048
23,25,2,20,3,59,70.23809523809524
23,25,2,20,5,67,79.76190476190476
23,25,2,20,7,77,91.66666666666667
23,25,3,20,3,61,72.61904761904762
23,25,3,20,5,68,80.95238095238095
23,25,3,20,7,74,88.0952380952381
23,25,4,20,3,61,72.61904761904762
23,25,4,20,5,69,82.14285714285714
23,25,4,20,7,76,90.47619047619048
23,30,1,5,3,58,69.04761904761905
23,30,1,5,5,76,90.47619047619048
