Timestamp	Year	Are you a Cal Poly student?	Major	Check all Interest Clusters Selected (up to 8)	My current program was recommended	One or more of the recommended programs matched my interests	There is an unexpected program that I did not consider yet	A program that I would consider (besides the one I'm enrolled in) is not recommended	Do you agree or disagree with following statements below [I think this tool can be useful to select a major]	Do you agree or disagree with following statements below [I would consider using this tool in addition to existing resources]	Do you agree or disagree with following statements below [I think the interest word clouds were mostly meaningful]	Do you agree or disagree with following statements below [It was easy for me to select interesting word clouds]	Do you agree or disagree with following statements below [Overall, it was easy to use this tool]	Do you have any suggestions for improvements to this tool?	
2/1/2023 16:51:58	Beyond 5th Year	Yes	Industrial Engineering	3, 10, 11, 18, 20, 22, 24, 25, 26, 28, 29	Yes	Yes	No	No	Strongly Agree	Agree	Agree	Neutral	Agree		
2/2/2023 20:33:26	4th Year	Yes	Business Admin -- Finance	1, 2, 9, 11, 22, 25, 27	Yes	Yes	Yes	No	Agree	Strongly Agree	Agree	Agree	Agree	Really awesome! Maybe do a blind study without people knowing this is a major test? 	
2/2/2023 20:45:32	Beyond 5th Year	Yes	Political Science	0, 1, 5, 7, 13, 15, 26, 27	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	This tool was a very interesting way to map interests to specific majors 	
2/2/2023 20:46:33	4th Year	Yes	Environmental Management and Protection	1, 10, 19, 20, 21, 24, 27	Yes	Yes	Yes	Yes	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Excluding the name of majors from clusters might decrease bias.	
2/6/2023 16:36:37	1st Year	Yes	Communication Studies	6, 12, 24	No	Yes	No	No	Strongly Agree	Agree	Agree	Agree	Strongly Agree		
2/6/2023 16:36:41	1st Year	Yes	Psychology	4, 10, 15, 23	No	Yes	Yes	Yes	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree		
2/6/2023 16:43:44	2nd Year	Yes	Mechanical Engineering	4, 7, 9, 10, 20, 21, 28	No	Yes	No	No	Agree	Agree	Agree	Neutral	Strongly Agree		
2/6/2023 16:58:43	3rd Year	Yes	Biological Sciences	2, 6, 7, 14, 15, 21, 22, 25	No	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Awesome!	
2/6/2023 17:04:40	4th Year	No	Public Health	4, 7, 8, 14, 15	Yes	Yes	No	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Maybe a step further and could recommend potential jobs/internships:) thought this was pretty snazzy 	
2/6/2023 17:04:46	2nd Year	No	Public Health	3	Yes	Yes	Yes	Yes	Agree	Neutral	Agree	Agree	Agree		
2/6/2023 17:05:26	4th Year	No	Microbiology	2, 6, 12, 14, 16, 21	No	Yes	Yes	Yes	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree		
2/6/2023 17:09:26	3rd Year	Yes	Kinesiology	4, 5, 7, 10, 14, 24	No	Yes	Yes	Yes	Agree	Strongly Agree	Agree	Agree	Agree	I think this tool is far more beneficial to students who have not declared a major yet, since it provides many different options (helpful for someone searching for a major idea). Overall a very cool idea and tool 	
2/6/2023 17:14:42	2nd Year	Yes	Graphic Communication	6, 29	Yes	Yes	No	Yes	Agree	Agree	Agree	Neutral	Strongly Agree	Nope	
2/6/2023 17:15:27	2nd Year	Yes	Graphic Communication	6, 13, 24, 29	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/6/2023 17:18:40	3rd Year	Yes	Environmental Earth and Soil Sciences	4	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/6/2023 17:26:46	2nd Year	No	Political Science	0, 4, 9	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/6/2023 17:39:12	3rd Year	Yes	Art and Design	3, 17, 18, 22, 29	No	No	No	No	Agree	Agree	Neutral	Neutral	Strongly Agree	As an art and design major I didnâ€™t see many clusters that described my particular program, maybe expanding those clusters to be sure they focus in on each major that is offered. 	
2/14/2023 17:39:23	Beyond 5th Year	Yes	Biomedical Engineering	1, 3, 4, 6, 14, 21, 26, 27	Yes	Yes	No	Yes	Agree	Agree	Agree	Disagree	Strongly Agree		
2/14/2023 17:42:35	4th Year	Yes	Business Admin -- Entrepreneurship	0, 1, 6, 11, 14, 27	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree		
2/14/2023 17:52:37	2nd Year	Yes	Physics	0, 3, 6, 20, 21, 25, 26, 28	No	Yes	Yes	Yes	Disagree	Strongly Disagree	Agree	Agree	Agree		
2/14/2023 18:05:57	2nd Year	No	Biomedical Engineering	6, 7, 21, 25, 27, 28	Yes	Yes	No	Yes	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/14/2023 18:13:05	4th Year	Yes	Interdisciplinary Studies	16, 18, 21, 26, 28	No	Yes	No	Yes	Agree	Agree	Neutral	Agree	Strongly Agree		
2/14/2023 19:09:14	3rd Year	Yes	Graphic Communication	3, 9, 10, 11, 17, 28, 29	No	Yes	Yes	No	Agree	Strongly Agree	Agree	Neutral	Strongly Agree	Look into legibility research of different typefaces for fonts of word clusters 	
2/14/2023 19:14:38	1st Year	Yes	Business Admin -- Undecided	2, 3, 8, 11, 24, 26, 28	Yes	Yes	Yes	Yes	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Maybe organize the word clusters so that they are spaced a little further apart	
2/17/2023 13:48:50	5th Year	Yes	Industrial Engineering	10, 20, 22	Yes	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Consider using weighting for the different word clouds 	
2/22/2023 21:48:25	2nd Year	Yes	Industrial Technology and Packaging	6, 10, 12, 24	No	Yes	Yes	No	Agree	Agree	Agree	Neutral	Agree		
2/23/2023 11:34:08	3rd Year	Yes	Recreation, Parks, and Tourism Administration	6, 7, 15, 26, 27	No	Yes	Yes	No	Agree	Agree	Agree	Agree	Strongly Agree		
2/23/2023 11:37:06	3rd Year	Yes	Graphic Communication	12, 19, 29	Yes	Yes	No	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/23/2023 11:43:18	4th Year	Yes	Animal Science	3, 4, 5, 6, 14	No	Yes	No	No	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/23/2023 11:58:38	5th Year	Yes	Kinesiology	7	Yes	Yes	No	Yes	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/23/2023 12:05:03	2nd Year	Yes	Interdisciplinary Studies	0, 6, 9, 10, 14, 15, 24, 26	Yes	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Great work ! 	
2/23/2023 12:10:55	3rd Year	No	Journalism	7, 12, 13, 14	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		From University of Oregon
2/23/2023 12:11:02	4th Year	Yes	Business Admin -- Marketing	7, 11, 14	Yes	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	N/A	
2/23/2023 12:16:13	2nd Year	No	Marine Sciences	10, 14	No	Yes	Yes	No	Agree	Agree	Agree	Strongly Agree	Strongly Agree		Marine Bio at Cuesta
2/23/2023 12:20:31	2nd Year	Yes	Child Development	0, 10, 14, 27	Yes	Yes	Yes	No	Agree	Agree	Agree	Agree	Agree	I liked it	
2/23/2023 12:21:32	2nd Year	Yes	Business Admin -- Undecided	7, 10, 14, 24	No	Yes	Yes	No	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree		
2/23/2023 12:24:32	1st Year	Yes	Business Admin -- Undecided	4	Yes	Yes	Yes	No	Agree	Agree	Agree	Neutral	Agree	No	
2/23/2023 12:25:03	1st Year	Yes	City and Regional Planning	6, 8, 10	No	Yes	Yes	Yes	Agree	Agree	Neutral	Agree	Strongly Agree		
2/23/2023 12:37:32	Beyond 5th Year	No	Journalism	0, 6, 8, 10, 12, 27	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Agree	Agree		Not a student
2/23/2023 12:39:57	3rd Year	Yes	Landscape Architecture	0, 6, 8, 10, 14	No	Yes	Yes	Yes	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree		
2/23/2023 12:48:30	2nd Year	No	Mechanical Engineering	14, 17, 28	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	Transferring to Cal Poly
2/23/2023 12:50:10	2nd Year	No	Mechanical Engineering	14, 17, 21, 24, 25	No	Yes	Yes	Yes	Neutral	Agree	Agree	Agree	Agree		Transferring to Cal Poly
2/26/2023 17:20:42	2nd Year	Yes	Mechanical Engineering	8, 10, 20, 24, 28	No	Yes	Yes	No	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Include images in the clouds	
2/26/2023 17:31:34	3rd Year	No	Child Development	4, 5, 7, 26	Yes	Yes	Yes	Yes	Agree	Agree	Strongly Agree	Strongly Agree	Agree		
2/26/2023 17:31:54	4th Year	Yes	Economics	1, 6, 10, 11, 26	No	Yes	Yes	Yes	Agree	Neutral	Neutral	Strongly Agree	Strongly Agree		
2/26/2023 17:35:24	3rd Year	Yes	Biomedical Engineering	6, 14, 15, 25, 26	No	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/26/2023 17:45:23	2nd Year	Yes	Manufacturing Engineering	1, 6, 10, 14, 20, 29	Yes	Yes	Yes	Yes	Agree	Agree	Agree	Agree	Strongly Agree	N/A	
2/26/2023 17:46:29	2nd Year	Yes	Business Admin -- Finance	2, 7, 11, 12, 28, 29	Yes	Yes	No	Yes	Agree	Strongly Agree	Agree	Agree	Strongly Agree	None, this is a fantastic project!	
2/26/2023 17:47:03	2nd Year	Yes	Business Admin -- Undecided	4, 8, 11, 14, 15, 21	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	I think it was very easy to use and found it very interesting to see what I found interesting. I wish I could have seen this when I first applied to Cal Poly. 	
2/26/2023 18:40:39	2nd Year	Yes	Statistics	2, 6, 7, 11, 13	No	Yes	Yes	Yes	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/26/2023 18:41:19	2nd Year	Yes	Psychology	2, 5, 6, 9, 15, 16, 24	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
2/26/2023 18:42:49	2nd Year	Yes	Statistics	5, 7, 10, 22, 23, 25	No	Yes	Yes	Yes	Agree	Agree	Agree	Agree	Strongly Agree		
3/10/2023 18:20:12	5th Year	Yes	Architectural Engineering	5, 6, 10, 12, 13, 20, 29	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	My of an explanation about how the clusters were derived and the relationship between them (but maybe that spoils too much of the point of this project).	
3/10/2023 18:44:49	5th Year	Yes	Computer Science	5, 6, 11, 12, 18, 22	Yes	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	 Seems like a great tool to get starting points for recommendations. If anything, having multiple rounds could be interesting, to further narrow down a selection.	
4/10/2023 20:40:21	Beyond 5th Year	No	Business Admin -- Accounting	11, 12, 18, 25, 27	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree		
4/10/2023 20:45:48	2nd Year	Yes	Computer Engineering	17, 18, 21, 24, 25, 27, 28, 29	No	Yes	Yes	Yes	Agree	Agree	Agree	Agree	Agree		
4/10/2023 20:52:53	4th Year	Yes	Environmental Management and Protection	0, 3, 6, 9, 10, 12, 24	Yes	Yes	Yes	Yes	Agree	Agree	Disagree	Disagree	Strongly Agree	I think the words should be more theoretical it was very literal explanations and I could tell what the clusters would recommend to me.	
4/10/2023 20:52:59	4th Year	Yes	Sociology	0, 6, 9, 10, 15, 23, 24	No	Yes	Yes	Yes	Disagree	Disagree	Disagree	Strongly Agree	Strongly Agree		
4/10/2023 21:05:33	Beyond 5th Year	No	Environmental Engineering	8, 10, 17, 20, 21, 23, 24	No	Yes	No	Yes	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree		
4/10/2023 21:05:38	Beyond 5th Year	No	Public Health	0, 1, 9, 14, 15, 22, 26	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
4/10/2023 21:11:51	3rd Year	Yes	Plant Sciences	16, 19, 23	No	Yes	Yes	No	Agree	Agree	Agree	Strongly Agree	Strongly Agree		
4/10/2023 21:17:22	4th Year	Yes	Nutrition	2, 14, 21, 27	Yes	Yes	Yes	Yes	Neutral	Agree	Agree	Strongly Agree	Strongly Agree		
4/10/2023 21:33:25	3rd Year	Yes	Business Admin -- Accounting	9, 11, 26, 29	No	Yes	Yes	Yes	Agree	Agree	Neutral	Strongly Agree	Strongly Agree		
4/10/2023 21:45:57	4th Year	Yes	Biological Sciences	3, 4, 10	Yes	Yes	No	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		
4/10/2023 21:47:09	4th Year	Yes	Marine Sciences	10, 16, 24	No	Yes	Yes	No	Agree	Agree	Agree	Agree	Agree		